id,Food Group,Food Name,Protein (g),Fat (g),Carbohydrates (g),Ash (g),Calories,Starch (g),Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Alcohol (g),Water (g),Caffeine (mg),Theobromine (mg),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Fluoride (mcg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
2024,Spices and Herbs,"Spices, mustard seed, ground",26.08,36.24,28.09,4.33,508,NULL,3.69,2.88,0.02,0,0,0,5.27,0,0,6.79,0.2,12.2,266,9.21,370,828,738,13,6.08,0.645,NULL,2.448,208.1,31,0,2,18,0,5.07,0,NULL,NULL,0,0,568,7.1,0.805,0.261,4.733,0.81,0.397,162,0,122.7,0,1.989,15.89
2025,Spices and Herbs,"Spices, nutmeg, ground",5.84,36.31,49.29,2.34,525,NULL,NULL,NULL,NULL,NULL,NULL,0,6.23,0,0,2.99,NULL,20.8,184,3.04,183,213,350,16,2.15,1.027,NULL,2.9,1.6,102,0,5,28,0,0,0,NULL,NULL,66,0,0,3,0.346,0.057,1.299,NULL,0.16,76,0,8.8,0,25.94,28.49
2026,Spices and Herbs,"Spices, onion powder",10.41,1.04,79.12,4.04,341,NULL,3.87,0.73,1.67,0,0,0,5.39,0,0,6.63,0.36,15.2,384,3.9,113,322,985,73,4.05,0.59,NULL,1.3,14.3,0,0,0,0,0,0.27,0,NULL,NULL,0,0,0,23.4,0.457,0.08,0.321,0.732,0.718,64,0,39,0,0.219,63.92
2027,Spices and Herbs,"Spices, oregano, dried",9,4.28,68.92,7.87,265,NULL,0.91,1.9,1.13,0,0,0,9.93,0,0,4.09,0.15,42.5,1597,36.8,270,148,1260,25,2.69,0.633,NULL,4.99,4.5,1701,0,85,1007,20,18.26,0,NULL,NULL,7,0,1895,2.3,0.177,0.528,4.64,0.921,1.044,237,0,32.3,0,1.551,26.42
2028,Spices and Herbs,"Spices, paprika",14.14,12.89,53.99,7.74,282,NULL,0.81,2.63,6.71,0,0,0,11.24,0,0,10.34,0.19,34.9,229,21.14,178,314,2280,68,4.33,0.713,NULL,1.59,6.3,49254,0,2463,26162,595,29.1,0,NULL,NULL,6186,0,18944,0.9,0.33,1.23,10.06,2.51,2.141,49,0,51.5,0,2.14,19.09
2029,Spices and Herbs,"Spices, parsley, dried",26.63,5.48,50.64,11.36,292,NULL,4.09,2.76,0.42,0,0,0,5.89,0,0,7.27,0,26.7,1140,22.04,400,436,2683,452,5.44,0.78,NULL,9.81,14.1,1939,0,97,1152,17,8.96,0,NULL,NULL,4,0,2428,125,0.196,2.383,9.943,1.062,0.9,180,0,97.1,0,1.378,23.94
2030,Spices and Herbs,"Spices, pepper, black",10.39,3.26,63.95,4.49,251,NULL,0.02,0.24,0.23,0,0,0,12.46,0,0,0.64,0.15,25.3,443,9.71,171,158,1329,20,1.19,1.33,34.2,12.753,4.9,547,0,27,310,12,1.04,0,NULL,NULL,25,20,454,0,0.108,0.18,1.143,1.399,0.291,17,0,11.3,0,1.392,38.65
2031,Spices and Herbs,"Spices, pepper, red or cayenne",12.01,17.27,56.63,6.04,318,NULL,NULL,NULL,NULL,NULL,NULL,0,8.05,0,0,10.34,NULL,27.2,148,7.8,152,293,2014,30,2.48,0.373,NULL,2,8.8,41610,0,2081,21840,0,29.83,0,NULL,NULL,6252,0,13157,76.4,0.328,0.919,8.701,NULL,2.45,106,0,51.5,0,3.26,29.43
2032,Spices and Herbs,"Spices, pepper, white",10.4,2.12,68.61,1.59,296,NULL,NULL,NULL,NULL,NULL,NULL,0,11.42,NULL,NULL,NULL,NULL,26.2,265,14.31,90,176,73,5,1.13,0.91,NULL,4.3,3.1,0,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,21,0.022,0.126,0.212,NULL,0.1,10,0,NULL,0,0.626,42.41
2033,Spices and Herbs,"Spices, poppy seed",17.99,41.56,28.13,6.37,525,NULL,2.33,0.37,0.29,0,0,0,5.95,0,0,2.99,0,19.5,1438,9.76,347,870,719,26,7.9,1.627,NULL,6.707,13.5,0,0,0,0,0,1.77,0,NULL,NULL,0,0,0,1,0.854,0.1,0.896,0.324,0.247,82,0,8.8,0,4.517,8.63
